feed_temperature_K,feed_pressure_kPa,feed_composition_benzene,n_stages,feed_stage,reflux_ratio,bottoms_rate_kmol_h,feed_vapor_fraction_q,column_pressure_kPa,relative_volatility,R_over_Rmin,N_over_Nmin,feed_stage_fraction,distillate_rate_kmol_h,bubble_point_T_K,dew_point_T_K,xD_benzene,xB_benzene,QC_kW,QR_kW
357.895,202.65,0.4714,10,3,2.0714,30.0,-0.01304,202.65,7.78328,2.60849,1.39156,0.3,70.0,360.419,390.99,0.717153,1e-06,2655.7962,2802.3972
328.421,121.59,0.5857,15,6,2.0714,30.0,-0.0272,121.59,11.01593,1.87505,17.19526,0.4,70.0,333.686,366.525,0.729698,0.24975245,2055.1809,2131.1992
395.789,101.325,0.3571,10,5,2.6429,70.0,1.08914,101.325,5.50023,1.38905,7.14727,0.5,30.0,341.482,371.478,0.72841,0.19802856,953.8081,992.4682
370.526,152.0,0.3571,25,17,2.3571,46.0,0.47259,152.0,6.84744,2.83375,3.22563,0.68,54.0,356.984,385.64,0.749389,1e-06,1934.6177,2046.3776
395.789,101.325,0.4143,10,3,3.5,30.0,1.09801,101.325,5.50023,2.15538,1.14533,0.3,70.0,337.332,369.059,0.744433,1e-06,2745.6918,2902.9981
332.632,101.325,0.4143,30,5,2.3571,54.0,-0.02429,101.325,10.40561,3.67345,22.84978,0.16667,46.0,337.332,369.059,0.754638,0.12435592,1344.9714,1410.4275
349.474,202.65,0.6429,20,5,3.5,30.0,-0.00438,202.65,8.52787,2.03699,17.9804,0.25,70.0,350.321,380.908,0.801908,0.27173846,3865.6748,4024.446
320.0,202.65,0.6429,25,17,2.6429,30.0,-0.15666,202.65,12.45495,1.47812,30.20702,0.68,70.0,350.321,380.908,0.775574,0.3,3135.6854,3251.2141
320.0,202.65,0.6429,15,10,3.5,62.0,-0.15666,202.65,12.45495,1.92902,17.76085,0.66667,38.0,350.321,380.908,0.78292,0.3,2101.5414,2180.2868
373.516,202.65,0.6693,13,7,3.198,53.366,0.81542,202.65,6.67564,4.31706,12.14846,0.53846,46.634,348.968,379.073,0.765709,0.3,2409.2135,2495.6911
349.474,202.65,0.6429,10,7,2.0714,70.0,-0.00438,202.65,8.52787,1.44079,11.99032,0.7,30.0,350.321,380.908,0.719152,0.3,1138.0237,1174.7469
328.421,101.325,0.4714,25,13,1.7857,30.0,-0.02678,101.325,11.00492,2.62451,4.06234,0.52,70.0,333.603,366.46,0.719924,1e-06,1702.8733,1797.2722
387.368,202.65,0.3571,15,3,3.5,30.0,0.67033,202.65,5.91432,2.76272,1.77556,0.2,70.0,368.81,396.496,0.768499,1e-06,3875.7149,4105.7022
